year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1986,Mid-year population, age 0 years, by sex,64700.0
1987,Mid-year population, age 0 years, by sex,66300.0
1988,Mid-year population, age 0 years, by sex,66200.0
1989,Mid-year population, age 0 years, by sex,65500.0
1990,Mid-year population, age 0 years, by sex,64300.0
1991,Mid-year population, age 0 years, by sex,64300.0
1992,Mid-year population, age 0 years, by sex,64600.0
1993,Mid-year population, age 0 years, by sex,61400.0
1994,Mid-year population, age 0 years, by sex,56400.0
1995,Mid-year population, age 0 years, by sex,56700.0
1996,Mid-year population, age 0 years, by sex,56600.0
1997,Mid-year population, age 0 years, by sex,53000.0
1998,Mid-year population, age 0 years, by sex,52000.0
1999,Mid-year population, age 0 years, by sex,52500.0
2000,Mid-year population, age 0 years, by sex,50433.0
2001,Mid-year population, age 0 years, by sex,48951.0
2002,Mid-year population, age 0 years, by sex,49870.0
2003,Mid-year population, age 0 years, by sex,51759.0
2004,Mid-year population, age 0 years, by sex,53877.0
2005,Mid-year population, age 0 years, by sex,54765.0
2006,Mid-year population, age 0 years, by sex,57506.0
2007,Mid-year population, age 0 years, by sex,60791.0
2008,Mid-year population, age 0 years, by sex,62705.0
2009,Mid-year population, age 0 years, by sex,63983.0
2010,Mid-year population, age 0 years, by sex,70635.0
2011,Mid-year population, age 0 years, by sex,74342.0
2012,Mid-year population, age 0 years, by sex,76700.0
2013,Mid-year population, age 0 years, by sex,78425.0
2014,Mid-year population, age 0 years, by sex,80183.0
2015,Mid-year population, age 0 years, by sex,82535.0
2016,Mid-year population, age 0 years, by sex,78878.0
2017,Mid-year population, age 0 years, by sex,78878.0
2018,Mid-year population, age 0 years, by sex,82223.0
2019,Mid-year population, age 0 years, by sex,87063.0
1981,Mid-year population, age 0 years, by sex,26700.0
1982,Mid-year population, age 0 years, by sex,27100.0
1983,Mid-year population, age 0 years, by sex,28500.0
1984,Mid-year population, age 0 years, by sex,28794.0
1985,Mid-year population, age 0 years, by sex,29600.0
1986,Mid-year population, age 0 years, by sex,30100.0
1987,Mid-year population, age 0 years, by sex,30300.0
1988,Mid-year population, age 0 years, by sex,29600.0
1989,Mid-year population, age 0 years, by sex,28730.0
1990,Mid-year population, age 0 years, by sex,28680.0
1991,Mid-year population, age 0 years, by sex,28668.0
1992,Mid-year population, age 0 years, by sex,27864.0
1993,Mid-year population, age 0 years, by sex,25668.0
1994,Mid-year population, age 0 years, by sex,22685.0
1995,Mid-year population, age 0 years, by sex,21098.0
1996,Mid-year population, age 0 years, by sex,20302.0
1997,Mid-year population, age 0 years, by sex,19495.0
1998,Mid-year population, age 0 years, by sex,19132.0
1999,Mid-year population, age 0 years, by sex,18796.0
2000,Mid-year population, age 0 years, by sex,17963.0
2001,Mid-year population, age 0 years, by sex,16550.0
2002,Mid-year population, age 0 years, by sex,15423.0
2003,Mid-year population, age 0 years, by sex,15205.0
2004,Mid-year population, age 0 years, by sex,15118.0
2005,Mid-year population, age 0 years, by sex,14842.0
2006,Mid-year population, age 0 years, by sex,14758.0
2007,Mid-year population, age 0 years, by sex,14931.0
2008,Mid-year population, age 0 years, by sex,15587.0
2009,Mid-year population, age 0 years, by sex,16197.0
2010,Mid-year population, age 0 years, by sex,16003.0
2011,Mid-year population, age 0 years, by sex,15642.0
2012,Mid-year population, age 0 years, by sex,15587.0
2013,Mid-year population, age 0 years, by sex,15378.0
2014,Mid-year population, age 0 years, by sex,15382.0
2015,Mid-year population, age 0 years, by sex,15874.0
2016,Mid-year population, age 0 years, by sex,15959.0
2017,Mid-year population, age 0 years, by sex,15273.0
2018,Mid-year population, age 0 years, by sex,14586.0
2019,Mid-year population, age 0 years, by sex,14214.0
2020,Mid-year population, age 0 years, by sex,13534.0
1960,Mid-year population, age 0 years, by sex,2500.0
1963,Mid-year population, age 0 years, by sex,2600.0
1965,Mid-year population, age 0 years, by sex,2600.0
1966,Mid-year population, age 0 years, by sex,2600.0
1967,Mid-year population, age 0 years, by sex,2500.0
1968,Mid-year population, age 0 years, by sex,2400.0
1969,Mid-year population, age 0 years, by sex,2300.0
1970,Mid-year population, age 0 years, by sex,2200.0
1971,Mid-year population, age 0 years, by sex,2300.0
1972,Mid-year population, age 0 years, by sex,2100.0
1973,Mid-year population, age 0 years, by sex,1900.0
1974,Mid-year population, age 0 years, by sex,2000.0
1975,Mid-year population, age 0 years, by sex,2000.0
1976,Mid-year population, age 0 years, by sex,2000.0
1977,Mid-year population, age 0 years, by sex,2100.0
1978,Mid-year population, age 0 years, by sex,2000.0
1979,Mid-year population, age 0 years, by sex,2100.0
1980,Mid-year population, age 0 years, by sex,2200.0
1981,Mid-year population, age 0 years, by sex,2300.0
1982,Mid-year population, age 0 years, by sex,2200.0
1983,Mid-year population, age 0 years, by sex,2200.0
1984,Mid-year population, age 0 years, by sex,2100.0
1985,Mid-year population, age 0 years, by sex,2200.0
1986,Mid-year population, age 0 years, by sex,2100.0
1987,Mid-year population, age 0 years, by sex,2200.0
1988,Mid-year population, age 0 years, by sex,2200.0
1989,Mid-year population, age 0 years, by sex,2300.0
1990,Mid-year population, age 0 years, by sex,2500.0
1991,Mid-year population, age 0 years, by sex,2600.0
1992,Mid-year population, age 0 years, by sex,2600.0
1993,Mid-year population, age 0 years, by sex,2700.0
1994,Mid-year population, age 0 years, by sex,2800.0
1995,Mid-year population, age 0 years, by sex,2800.0
1996,Mid-year population, age 0 years, by sex,2900.0
1997,Mid-year population, age 0 years, by sex,2900.0
1998,Mid-year population, age 0 years, by sex,2817.0
1999,Mid-year population, age 0 years, by sex,2830.0
2000,Mid-year population, age 0 years, by sex,2907.0
2001,Mid-year population, age 0 years, by sex,2659.0
2002,Mid-year population, age 0 years, by sex,2752.0
2003,Mid-year population, age 0 years, by sex,2766.0
2004,Mid-year population, age 0 years, by sex,2808.0
2005,Mid-year population, age 0 years, by sex,2797.0
2006,Mid-year population, age 0 years, by sex,2799.0
2007,Mid-year population, age 0 years, by sex,2786.0
2008,Mid-year population, age 0 years, by sex,2814.0
2009,Mid-year population, age 0 years, by sex,2895.0
2010,Mid-year population, age 0 years, by sex,2932.0
2011,Mid-year population, age 0 years, by sex,2981.0
2012,Mid-year population, age 0 years, by sex,3048.0
2013,Mid-year population, age 0 years, by sex,3106.0
2014,Mid-year population, age 0 years, by sex,3130.0
2015,Mid-year population, age 0 years, by sex,3144.0
2016,Mid-year population, age 0 years, by sex,3132.0
2017,Mid-year population, age 0 years, by sex,3135.0
2018,Mid-year population, age 0 years, by sex,3198.5
2019,Mid-year population, age 0 years, by sex,3205.0
1980,Mid-year population, age 0 years, by sex,18000.0
1981,Mid-year population, age 0 years, by sex,18400.0
1982,Mid-year population, age 0 years, by sex,18900.0
1983,Mid-year population, age 0 years, by sex,20000.0
1984,Mid-year population, age 0 years, by sex,20500.0
1985,Mid-year population, age 0 years, by sex,20400.0
1986,Mid-year population, age 0 years, by sex,20800.0
1987,Mid-year population, age 0 years, by sex,21300.0
1988,Mid-year population, age 0 years, by sex,21200.0
1989,Mid-year population, age 0 years, by sex,20600.0
1990,Mid-year population, age 0 years, by sex,19500.0
1991,Mid-year population, age 0 years, by sex,18300.0
1992,Mid-year population, age 0 years, by sex,16700.0
1993,Mid-year population, age 0 years, by sex,14600.0
1994,Mid-year population, age 0 years, by sex,12800.0
1995,Mid-year population, age 0 years, by sex,11600.0
1996,Mid-year population, age 0 years, by sex,10600.0
1997,Mid-year population, age 0 years, by sex,9900.0
1998,Mid-year population, age 0 years, by sex,9500.0
1999,Mid-year population, age 0 years, by sex,9600.0
2000,Mid-year population, age 0 years, by sex,10066.0
2001,Mid-year population, age 0 years, by sex,10083.0
2002,Mid-year population, age 0 years, by sex,10045.0
2003,Mid-year population, age 0 years, by sex,10503.0
2004,Mid-year population, age 0 years, by sex,10648.0
2005,Mid-year population, age 0 years, by sex,10754.0
2006,Mid-year population, age 0 years, by sex,11228.0
2007,Mid-year population, age 0 years, by sex,11722.0
2008,Mid-year population, age 0 years, by sex,12126.0
2009,Mid-year population, age 0 years, by sex,11626.0
2010,Mid-year population, age 0 years, by sex,10479.0
2011,Mid-year population, age 0 years, by sex,9741.0
2012,Mid-year population, age 0 years, by sex,9863.0
2013,Mid-year population, age 0 years, by sex,10287.0
2014,Mid-year population, age 0 years, by sex,10794.0
2015,Mid-year population, age 0 years, by sex,11298.0
2016,Mid-year population, age 0 years, by sex,11375.0
2017,Mid-year population, age 0 years, by sex,11039.0
2018,Mid-year population, age 0 years, by sex,10316.0
2019,Mid-year population, age 0 years, by sex,9742.5
2020,Mid-year population, age 0 years, by sex,9267.5
2020,Mid-year population, age 0 years, by sex,157.0
1980,Mid-year population, age 0 years, by sex,39796.0
1981,Mid-year population, age 0 years, by sex,40386.0
1982,Mid-year population, age 0 years, by sex,41444.0
1983,Mid-year population, age 0 years, by sex,43950.0
1984,Mid-year population, age 0 years, by sex,45301.0
1985,Mid-year population, age 0 years, by sex,45265.0
1986,Mid-year population, age 0 years, by sex,46540.0
1987,Mid-year population, age 0 years, by sex,46360.0
1988,Mid-year population, age 0 years, by sex,44988.0
1989,Mid-year population, age 0 years, by sex,42732.0
1990,Mid-year population, age 0 years, by sex,40150.0
1991,Mid-year population, age 0 years, by sex,37568.0
1992,Mid-year population, age 0 years, by sex,35849.0
1993,Mid-year population, age 0 years, by sex,32448.0
1994,Mid-year population, age 0 years, by sex,32249.0
1995,Mid-year population, age 0 years, by sex,29886.0
1996,Mid-year population, age 0 years, by sex,27301.0
1997,Mid-year population, age 0 years, by sex,22980.0
1998,Mid-year population, age 0 years, by sex,22027.0
1999,Mid-year population, age 0 years, by sex,20230.0
2000,Mid-year population, age 0 years, by sex,19175.0
2001,Mid-year population, age 0 years, by sex,18683.0
2002,Mid-year population, age 0 years, by sex,18321.0
2003,Mid-year population, age 0 years, by sex,18407.0
2004,Mid-year population, age 0 years, by sex,19090.0
2005,Mid-year population, age 0 years, by sex,19470.0
2006,Mid-year population, age 0 years, by sex,19354.0
2007,Mid-year population, age 0 years, by sex,19343.0
2008,Mid-year population, age 0 years, by sex,19576.0
2009,Mid-year population, age 0 years, by sex,20256.5
2010,Mid-year population, age 0 years, by sex,20566.0
2011,Mid-year population, age 0 years, by sex,20200.5
2012,Mid-year population, age 0 years, by sex,20015.0
2013,Mid-year population, age 0 years, by sex,19686.0
2014,Mid-year population, age 0 years, by sex,19566.0
2015,Mid-year population, age 0 years, by sex,19701.0
2016,Mid-year population, age 0 years, by sex,19266.0
2017,Mid-year population, age 0 years, by sex,18092.5
2018,Mid-year population, age 0 years, by sex,16894.0
1991,Mid-year population, age 0 years, by sex,16300.0
1992,Mid-year population, age 0 years, by sex,15500.0
1993,Mid-year population, age 0 years, by sex,14500.0
1994,Mid-year population, age 0 years, by sex,14800.0
1995,Mid-year population, age 0 years, by sex,16200.0
1996,Mid-year population, age 0 years, by sex,16300.0
1997,Mid-year population, age 0 years, by sex,14900.0
1998,Mid-year population, age 0 years, by sex,13700.0
1999,Mid-year population, age 0 years, by sex,13200.0
2000,Mid-year population, age 0 years, by sex,13100.0
2001,Mid-year population, age 0 years, by sex,12824.0
2002,Mid-year population, age 0 years, by sex,12023.0
2003,Mid-year population, age 0 years, by sex,11974.0
2004,Mid-year population, age 0 years, by sex,12020.0
2005,Mid-year population, age 0 years, by sex,11625.0
2006,Mid-year population, age 0 years, by sex,11392.0
2007,Mid-year population, age 0 years, by sex,11566.0
2008,Mid-year population, age 0 years, by sex,11661.0
2009,Mid-year population, age 0 years, by sex,11946.0
2010,Mid-year population, age 0 years, by sex,12369.0
2011,Mid-year population, age 0 years, by sex,12100.0
2012,Mid-year population, age 0 years, by sex,11891.0
2013,Mid-year population, age 0 years, by sex,12046.0
2014,Mid-year population, age 0 years, by sex,12012.0
2015,Mid-year population, age 0 years, by sex,11950.0
2016,Mid-year population, age 0 years, by sex,11796.0
2017,Mid-year population, age 0 years, by sex,11405.0
2018,Mid-year population, age 0 years, by sex,11094.0
2019,Mid-year population, age 0 years, by sex,9818.0
2020,Mid-year population, age 0 years, by sex,9983.0
1955,Mid-year population, age 0 years, by sex,4200.0
1956,Mid-year population, age 0 years, by sex,3600.0
1957,Mid-year population, age 0 years, by sex,4300.0
1958,Mid-year population, age 0 years, by sex,4200.0
1959,Mid-year population, age 0 years, by sex,4100.0
1960,Mid-year population, age 0 years, by sex,4300.0
1961,Mid-year population, age 0 years, by sex,3900.0
1962,Mid-year population, age 0 years, by sex,3700.0
1963,Mid-year population, age 0 years, by sex,3600.0
1964,Mid-year population, age 0 years, by sex,3300.0
1965,Mid-year population, age 0 years, by sex,3000.0
1966,Mid-year population, age 0 years, by sex,2800.0
1967,Mid-year population, age 0 years, by sex,2500.0
1968,Mid-year population, age 0 years, by sex,2600.0
1969,Mid-year population, age 0 years, by sex,2600.0
1970,Mid-year population, age 0 years, by sex,2700.0
1971,Mid-year population, age 0 years, by sex,2600.0
1972,Mid-year population, age 0 years, by sex,2800.0
1973,Mid-year population, age 0 years, by sex,2600.0
1974,Mid-year population, age 0 years, by sex,2700.0
1975,Mid-year population, age 0 years, by sex,2900.0
1976,Mid-year population, age 0 years, by sex,2900.0
1977,Mid-year population, age 0 years, by sex,3000.0
1978,Mid-year population, age 0 years, by sex,2900.0
1979,Mid-year population, age 0 years, by sex,3000.0
1980,Mid-year population, age 0 years, by sex,2900.0
1981,Mid-year population, age 0 years, by sex,2700.0
1982,Mid-year population, age 0 years, by sex,3000.0
1983,Mid-year population, age 0 years, by sex,2900.0
1984,Mid-year population, age 0 years, by sex,2900.0
1985,Mid-year population, age 0 years, by sex,2800.0
1986,Mid-year population, age 0 years, by sex,2800.0
1987,Mid-year population, age 0 years, by sex,2700.0
1988,Mid-year population, age 0 years, by sex,2800.0
